Nom du festival,Envergure territoriale,Région principale de déroulement,Département principal de déroulement,Commune principale de déroulement,Code postal (de la commune principale de déroulement),Code Insee commune,Code Insee EPCI,Libellé EPCI,Numéro de voie,"Type de voie (rue, Avenue, boulevard, etc.)",Nom de la voie,Adresse postale,Complément d'adresse (facultatif),Site internet du festival,Adresse e-mail,Décennie de création du festival,Année de création du festival,Discipline dominante,Sous-catégorie spectacle vivant,Sous-catégorie musique,Sous-catégorie Musique CNM,Sous-catégorie cinéma et audiovisuel,Sous-catégorie arts visuels et arts numériques,Sous-catégorie livre et littérature,Période principale de déroulement du festival,Identifiant Agence A,Identifiant,Géocodage xy,identifiant CNM
Guitares en Cormatinois,,Bourgogne-Franche-Comté,Saône-et-Loire,Cormatin,71460,71145,247103765,CC Entre Saône et Grosne,,,,,,http://www.guitaresencormatinois.com/index.php,guitaresencormatinois@gmail.com,De 2000 à 2009,2002,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71145_1821,"46.535532183, 4.69561266719",
Rencontre cinéma de Marcigny,,Bourgogne-Franche-Comté,Saône-et-Loire,Marcigny,71100,71275,247100639,CC de Marcigny,1,Place,Place Reverchon,1 Place Place Reverchon,,https://marcynema.org,antoine.pelicand@marcynema.org,Avant 1980,1971,"Cinéma, audiovisuel",,,,"Court métrage, Fiction long métrage",,,Après-saison (6 septembre - 31 décembre),,FEST_71275_3650,"46.2756272512, 4.039116013",
Luciol In The Sky,,Bourgogne-Franche-Comté,Saône-et-Loire,Charnay-lès-Mâcon,71850,71105,200070308,CA Mâconnais Beaujolais Agglomération,,Chemin,du Carge d'Arlay,Chemin  du Carge d'Arlay,,www.cavazik.org,cynthia@cavazik.org // didierg@cavazik.org,2010 et après,2017,Musique,,"Hip-hop, rap, slam, Pop, rock, musiques actuelles",07- Musiques actuelles sans distinction,,,,Avant-saison (1er janvier - 20 juin),,FEST_71105_1495,"46.3041852737, 4.78693813476",4122
Les Grandes Heures,,Bourgogne-Franche-Comté,Saône-et-Loire,Cluny,71250,71137,200040293,CC du Clunisois,,,,,,Accueil | Grandes heures de cluny,guy.touvron@gmail.com,Avant 1980,1967,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71137_1716,"46.4303628582, 4.67033276327",
Les impromptus,,Bourgogne-Franche-Comté,Saône-et-Loire,Tournus,71700,71543,200069698,CC Mâconnais - Tournugeois,,,,,,https://lesimpromptus.fr,ac.durel@lesimpromptus.fr,2010 et après,2016,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71543_6721,"46.5651726015, 4.90012429206",
Été Frappé,,Bourgogne-Franche-Comté,Saône-et-Loire,Mâcon,71000,71270,200070308,CA Mâconnais Beaujolais Agglomération,,,,,,www.macon.fr,,De 2000 à 2009,2002,Pluridisciplinaire,,,,,,,Saison (21 juin - 5 septembre),,FEST_71270_3596,"46.3205511756, 4.81842529639",
Cluny Danse,,Bourgogne-Franche-Comté,Saône-et-Loire,Cluny,71250,71137,242100410,Dijon Métropole,1,Place,parc abbatial,1 Place parc abbatial,,https://festivalclunydanse.com/,contact@festivalclunydanse.com,2010 et après,2012,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71137_1706,"46.4303628582, 4.67033276327",
Fes'tilleuls de la terrasse,,Bourgogne-Franche-Comté,Saône-et-Loire,Autun,71400,71014,200070530,CC du Grand Autunois Morvan,,,,,,,,De 2000 à 2009,2007,Musique,,Musiques actuelles,07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_71014_482,"46.945536773, 4.31060069532",5179
Festival Saint-Yan Scintillant,,Bourgogne-Franche-Comté,Saône-et-Loire,Saint-Yan,71600,71491,200071884,CC Le Grand Charolais,,,,,,http://styan-scintillant.com,styan.scintillant@gmail.com,2010 et après,2014,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_71491_6192,"46.4071746209, 4.05766988687",
Détours en Tournugeois,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Tournus,71100,71543,200069698,CC Mâconnais - Tournugeois,17,Rue,Granges,17 Rue Granges,,https://legalpon.com/detours-en-tournugeois/,contact@legalpon.com,De 2000 à 2009,2009,Spectacle vivant,Arts de la rue,,,,,,Saison (21 juin - 5 septembre),,FEST_71543_6718,"46.5651726015, 4.90012429206",
Musicales en Côte chalonnaise,Interrégionale,Bourgogne-Franche-Comté,Saône-et-Loire,Buxy,71390,71070,247104094,CC Sud Côte Chalonnaise,1,Place,de la Gare,1 Place de la Gare,c/o Office de Tourisme Sud Côte Chalonnaise,www.musicales-cote-chalonnaise.fr,info@musicales-cote-chalonnaise.fr,De 2000 à 2009,2002,Musique,,Musique classique,,,,,Saison (21 juin - 5 septembre),,FEST_71070_1120,"46.7130408432, 4.71342619185",
Demigny On The Rock,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Demigny,71150,71170,247100589,CA Le Grand Chalon,,route,de Chalon,route de Chalon,,http://demignyontherock.weebly.com,,De 1990 à 1999,1990,Musique,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71170_1944,"46.9145180669, 4.84793098636",
Festival de la BD de Cluny,,Bourgogne-Franche-Comté,Saône-et-Loire,Cluny,71250,71137,200040293,CC du Clunisois,,Rue,du 11 Août 1944,Rue du 11 Août 1944,,https://festival-bd-cluny.fr/,bd.cl@gadz.org,De 1990 à 1999,,"Livre, littérature",,,,,,"Bande dessinée, comics, manga",Avant-saison (1er janvier - 20 juin),,FEST_71137_1710,"46.4303628582, 4.67033276327",
Torcymages,Interrégionale,Bourgogne-Franche-Comté,Saône-et-Loire,Torcy,71210,71540,247100290,CU Le Creusot Montceau-les-Mines,24,Avenue,Du 8 mai 1945,24 Avenue Du 8 mai 1945,,https://torcymages.com,,De 1990 à 1999,1990,"Cinéma, audiovisuel",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71540_6588,"46.7663790814, 4.44629007139",
Festival Saint Rock,,Bourgogne-Franche-Comté,Saône-et-Loire,La Clayette,71800,71133,200070548,CC La Clayette Chauffailles en Brionnais,1,Route,Route de Charolles,1 Route Route de Charolles,Château de La Clayette,www.saintrock.eu,jeremiefayard@hotmail.fr,2010 et après,2010,Musique,,"Chanson ou variété française, Musiques électroniques, techno, Pop, rock",02- Musiques amplifiées ou électroniques,,,,Saison (21 juin - 5 septembre),,FEST_71133_2741,"46.2892944317, 4.31079967145",1751
Festival international de vidéo danse de Bourgogne,,Bourgogne-Franche-Comté,Saône-et-Loire,Le Breuil,71670,71059,247100290,CU Le Creusot Montceau-les-Mines,,,,,,https://videodansebourgogne.com,franck@videodansebourgogne.com,De 2000 à 2009,2009,"Cinéma, audiovisuel",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71059_3042,"46.7952744773, 4.49374098192",
Festival de Bourgogne du sud,Départementale,Bourgogne-Franche-Comté,Saône-et-Loire,Saint-Maurice-lès-Châteauneuf,71740,71463,200070548,CC La Clayette Chauffailles en Brionnais,17,Rue,principale,17 Rue principale,Grange d'Arc au Chemier,https://facebook.com/FestivalDeBourgogneDuSud,Arcane17desarts@orange.fr,De 2000 à 2009,2003,Musique,,"Musique classique, Musiques traditionnelles, Opéra, Théâtre musical",,,,,Saison (21 juin - 5 septembre),,FEST_71463_6048,"46.2267056236, 4.25094648512",
Journées des écritures de Cluny,,Bourgogne-Franche-Comté,Saône-et-Loire,Cluny,71250,71137,200040293,CC du Clunisois,13,Place,DE L'HOPITAL,13 Place DE L'HOPITAL,,journeesdesecrituresdecluny.fr,contactjdec@gmail.com,2010 et après,2017,"Livre, littérature",,,,,,"Fiction (roman, théâtre, etc.), Poésie, Polar",Après-saison (6 septembre - 31 décembre),,FEST_71137_1715,"46.4303628582, 4.67033276327",
Vivre le Lieu,,Bourgogne-Franche-Comté,Saône-et-Loire,Ozenay,71700,71338,200069698,CC Mâconnais - Tournugeois,,,,,,,fournetpierre@sfr.fr,2010 et après,2014,"Arts visuels, arts numériques",,,,,,,Saison (21 juin - 5 septembre),,FEST_71338_4574,"46.5352832941, 4.84332783222",
Tournées Tréteaux,,Bourgogne-Franche-Comté,Saône-et-Loire,Digoin,71160,71176,200071884,CC Le Grand Charolais,,,,,,,contact@legrandcharolais.fr,De 2000 à 2009,2004,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71176_1961,"46.4891651235, 4.02511604849",
Sème ton cirque,,Bourgogne-Franche-Comté,Saône-et-Loire,Saint-Julien-de-Civry,71800,71433,200071884,CC Le Grand Charolais,,,,,,http://www.bsidecompany.com/association-les-rumeurs-qui-courent.html,gillap@orange.fr,2010 et après,2019,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71433_5946,"46.3729257558, 4.22118387615",
Festiv'halles Azé,,Bourgogne-Franche-Comté,Saône-et-Loire,Azé,71260,71016,200070308,CA Mâconnais Beaujolais Agglomération,1,Place,Place du Cèdre,1 Place Place du Cèdre,Halles d'Azé,Pas de site,foyer.rural.aze@gmail.com,De 2000 à 2009,2008,Musique,,"Chanson ou variété française, Jazz, blues, Hip-hop, rap, slam, Métal, hard rock, Musique classique, Musique contemporaine, Musiques du monde, Musiques électroniques, techno, Musiques traditionnelles, Opéra, Pop, rock, RnB, Variétés internationales",07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_71016_561,"46.4318867242, 4.74963746686",2854
Les Tréteaux de Pontus,,Bourgogne-Franche-Comté,Saône-et-Loire,Bissy-sur-Fley,71460,71037,247104094,CC Sud Côte Chalonnaise,1,Rue,du château,1 Rue du château,Château Pontus de Tyard,lhttp://www.pontus-de-tyard.com // https://www.facebook.com/Les-Tr%C3%A9teaux-de-Pontus-613526515516494,lacompagniedubonheurvert@yahoo.fr,2010 et après,2016,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71037_836,"46.6633352989, 4.6213986546",
Sous l'barnum,,Bourgogne-Franche-Comté,Saône-et-Loire,Couches,71490,71149,200070530,CC du Grand Autunois Morvan,,,,,,https://www.facebook.com/batdelane/events/?ref=page_internal,contact@leseclumes.net,2010 et après,2018,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71149_1838,"46.869155076, 4.56431598435",
Grand Bastringue de Cluny,Départementale,Bourgogne-Franche-Comté,Saône-et-Loire,Cluny,71250,71137,200040293,CC du Clunisois,20,Route,de Paris,20 Route de Paris,,www.grandbastringue.com,,De 2000 à 2009,2006,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71137_1713,"46.4303628582, 4.67033276327",
Salon Voyage en Livres,,Bourgogne-Franche-Comté,Saône-et-Loire,La Clayette,71800,71133,200070548,CC La Clayette Chauffailles en Brionnais,,,,,,https://voyageenlivres.com/,le-petit-rameur@laposte.net,2010 et après,2019,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71133_2742,"46.2892944317, 4.31079967145",
Trad'Envol,,Bourgogne-Franche-Comté,Saône-et-Loire,Saint-Marcel,27950,71445,247100589,CA Le Grand Chalon,,,,,,https://www.tradenvol.com/?fbclid=IwAR0bz-kmbJ-ELXuzy7r8XNYwFAMZYIbbll8WN7s-xoAlRupZHDhuDBPKci0,modomarchand@gmail.com,2010 et après,2015,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_71445_6017,"46.77487928, 4.88727108461",
Festival Outre-mer en Bourgogne,,Bourgogne-Franche-Comté,Saône-et-Loire,Montceau-les-Mines,71300,71306,247100290,CU Le Creusot Montceau-les-Mines,,,,,,,douce.heure.antillaise@wanadoo.fr,2010 et après,2012,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_71306_4007,"46.6762539128, 4.3540960404",
Jazz à Couches,,Bourgogne-Franche-Comté,Saône-et-Loire,Couches,71490,71149,200070530,CC du Grand Autunois Morvan,,Place,de la Mairie,Place de la Mairie,,www.jazzacouches.fr,contact@jazzacouches.fr,De 1980 à 1989,1988,Musique,,"Jazz, blues","03- Jazz, blues et musiques improvisées",,,,Saison (21 juin - 5 septembre),,FEST_71149_1837,"46.869155076, 4.56431598435",189
Festival du film d'animation,,Bourgogne-Franche-Comté,Saône-et-Loire,Tournus,71700,71543,200069698,CC Mâconnais - Tournugeois,37,Rue,de la République,37 Rue de la République,,https://www.tournus.fr/cinema-la-palette,cinema@tournus.fr,De 1990 à 1999,1990,"Cinéma, audiovisuel",,,,"Court métrage, Film d'animation",,,Après-saison (6 septembre - 31 décembre),,FEST_71543_6719,"46.5651726015, 4.90012429206",
Jazz In Trivy,,Bourgogne-Franche-Comté,Saône-et-Loire,Trivy,71520,71547,200071645,CC Saint Cyr Mère Boitier entre Charolais et Mâconnais,,,,,,https://www.jazzintrivy.frr,,de 1990 à 1999,1998,Musique,,"03- Jazz, blues et musiques improvisées","03- Jazz, blues et musiques improvisées",,,,Avant-saison (1er janvier - 20 juin),,FEST_71547_6791,"46.3907231408, 4.48743569605",5241
Jazz campus en Clunisois,Intercommunale,Bourgogne-Franche-Comté,Saône-et-Loire,Cluny,71250,71137,200040293,CC du Clunisois,16,Rue,Municipale,16 Rue Municipale,,www.jazzcampus.fr,festivaljazzcampus@gmail.com,Avant 1980,1977,Musique,,"Jazz, blues","03- Jazz, blues et musiques improvisées",,,,Saison (21 juin - 5 septembre),,FEST_71137_1714,"46.4303628582, 4.67033276327",316
Échanges et Traditions en Bresse,,Bourgogne-Franche-Comté,Saône-et-Loire,Cuisery,71290,71158,200071538,CC Terres de Bresse,,,,,,,alain.eynard@neuf.fr,2010 et après,2017,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71158_1907,"46.5569799009, 4.99361378862",
Festival d'art choral : Cantagora,,Bourgogne-Franche-Comté,Saône-et-Loire,Autun,71400,71014,200070530,CC du Grand Autunois Morvan,,,,,,,sophie.debouverie@orange.fr,2010 et après,2018,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_71014_483,"46.945536773, 4.31060069532",
Le p'tit pim,,Bourgogne-Franche-Comté,Saône-et-Loire,Saint-Point,71520,71470,200071645,CC Saint Cyr Mère Boitier entre Charolais et Mâconnais,1789,route,route du lac,1789 route route du lac,,lapimenterie.fr,bonjour@lapimenterie.fr,2010 et après,2015,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71470_6127,"46.3371050724, 4.62126526251",
"Cuiseaux, pays des peintres",,Bourgogne-Franche-Comté,Saône-et-Loire,Cuiseaux,71480,71157,200071579,CC Bresse Louhannaise Intercom',,,,,,,gillescourtivron@gmail.com,2010 et après,2011,"Arts visuels, arts numériques",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_71157_1905,"46.5047162667, 5.36399526057",
Louhans Jazz Festival,,Bourgogne-Franche-Comté,Saône-et-Loire,Louhans,71500,71263,200071579,CC Bresse Louhannaise Intercom',,,,,,,jimcarau@gmail.com,2010 et après,2019,Musique,,,"03- Jazz, blues et musiques improvisées",,,,Après-saison (6 septembre - 31 décembre),,FEST_71263_3467,"46.6351883548, 5.23839292789",5857
Conte & Compagnies,Départementale,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,90010,200069052,CA Grand Belfort,53,Avenue,Avenue d'Altkirch,53 Avenue Avenue d'Altkirch,,https://www.territoiredebelfort.fr/evenements/conte-compagnies,justine.baudet@territoiredebelfort.fr,De 2000 à 2009,2000,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_90010_721,"47.6471539414, 6.84541206237",
Conte et compagnies,Départementale,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,90010,200069052,CA Grand Belfort,53,Avenue,d'Altkirch,53 Avenue d'Altkirch,Médiathèque départementale,www.territoiredebelfort.fr,virginie.grieder@territoiredebelfort.fr,De 2000 à 2009,1999,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_90010_722,"47.6471539414, 6.84541206237",
Le mois du film documentaire,Départementale,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,90010,200069052,CA Grand Belfort,53,Avenue,Avenue d'Altkirch,53 Avenue Avenue d'Altkirch,,https://www.territoiredebelfort.fr/evenements/le-mois-du-film-documentaire,justine.baudet@territoiredebelfort.fr,De 2000 à 2009,2000,"Cinéma, audiovisuel",,,,Documentaire,,,Après-saison (6 septembre - 31 décembre),,FEST_90010_728,"47.6471539414, 6.84541206237",
Festival international de musique universitaire,Régionale,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,90010,200069052,CA Grand Belfort,,Place,d’Armes,Place d’Armes,Hotel de Ville,http://www.fimu.com/,infos@fimu.com,De 1980 à 1989,1988,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_90010_726,"47.6471539414, 6.84541206237",
Les Flâneries d’été,,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,90010,200069052,CA Grand Belfort,,,,,,https://www.territoiredebelfort.fr/evenements/les-flaneries-dete,,2010 et après,2018,Pluridisciplinaire,,,,,,,Saison (21 juin - 5 septembre),,FEST_90010_729,"47.6471539414, 6.84541206237",
Solstice de la marionnette,Régionale,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,90010,200069052,CA Grand Belfort,3 bis,Rue,Jean de la Fontaine,3 bis Rue Jean de la Fontaine,,https://marionnette-belfort.com/,,De 1980 à 1989,,Spectacle vivant,Arts de la marionnette,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_90010_732,"47.6471539414, 6.84541206237",
Festival du film d'un jour,Interrégionale,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,90010,200069052,CA Grand Belfort,,,,,Université de Technologie de Belfort – Montbéliard,http://www.ff1j.fr/,ff1j@utbm.fr,2010 et après,2019,"Cinéma, audiovisuel",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_90010_724,"47.6471539414, 6.84541206237",
Mois de la photo,Transfrontalière,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,90010,200069052,CA Grand Belfort,,,,,"Sur des grilles de parcs et de la Préfecture, à l'Hôtel de Ville, dans de nombreux commerces belfortains",https://www.belfort.fr/agenda-1242/mois-de-la-photo-1180.html?cHash=ce08645f55f1f908d9aa7593031cd06d,mreverchon@mairie-belfort.fr,2010 et après,2017,"Arts visuels, arts numériques",,,,,Photographie,,Avant-saison (1er janvier - 20 juin),,FEST_90010_730,"47.6471539414, 6.84541206237",
Eurockéennes de Belfort,,Bourgogne-Franche-Comté,Territoire de Belfort,Sermamagny,90093,90093,200069052,CA Grand Belfort,1,Rue,rue du Malsaucy,1 Rue rue du Malsaucy,presqu'ile du malsaucy,www.eurockeennes.fr,festival@eurockeennes.fr,De 1980 à 1989,1989,Musique,,"Jazz, blues, Hip-hop, rap, slam, Métal, hard rock, Musiques du monde, Musiques électroniques, techno, Pop, rock, RnB",02- Musiques amplifiées ou électroniques,,,,Saison (21 juin - 5 septembre),,FEST_90093_6334,"47.687801557, 6.8309146345",128
Be Bop Or Be Dead,Régionale,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,90010,200071116,CA ECLA  (Espace Communautaire Lons Agglomération),1 B,Rue,François Géant,1 B Rue François Géant,,https://bonus-track.fr/,,2010 et après,2015,Musique,,,"03- Jazz, blues et musiques improvisées",,,,Après-saison (6 septembre - 31 décembre),,FEST_90010_720,"47.6471539414, 6.84541206237",3117
Festival international de la marionnette de Belfort,,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,90010,200069052,CA Grand Belfort,,,,,,www.marionnette-belfort.com,marionnettebelfort@hotmail.com,De 1980 à 1989,1984,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_90010_725,"47.6471539414, 6.84541206237",
Fort en Musique,Intercommunale,Bourgogne-Franche-Comté,Territoire de Belfort,Giromagny,90200,90052,200069060,CC des Vosges du Sud,5,Place,Grand Place,5 Place Grand Place,,Fortenmusique.com,Info@fortenmusique.com,2010 et après,2018,Musique,,"Musique classique, Musique contemporaine, Musiques du monde",,,,,Saison (21 juin - 5 septembre),,FEST_90052_2404,"47.741048439, 6.82264329531",
La Tournée des Plages,,Bourgogne-Franche-Comté,Territoire de Belfort,Évette-Salbert,90300,90042,200069052,CA Grand Belfort,,Rue,Rue de la base,Rue Rue de la base,Base de loisirs du Malsaucy,https://www.lagrossentreprise.fr/la-tournee-des-plages-programme/,grosse.entreprise@orange.fr,2010 et après,2017,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_90042_2148,"47.6726681014, 6.79638657468",
Entrevues,,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,90010,200069052,CA Grand Belfort,1,Boulevard,Richelieu,1 Boulevard Richelieu,,www.festival-entrevues.com,direction@cinemasdaujourdhui.com,Avant 1980,,"Cinéma, audiovisuel",,,,"Court métrage, Documentaire, Fiction long métrage, Film d'animation, Compétition internationale de premières œuvres et rétrospectives",,,Après-saison (6 septembre - 31 décembre),,FEST_90010_723,"47.6471539414, 6.84541206237",
Nuits d’été de Milandre,Transfrontalière,Bourgogne-Franche-Comté,Territoire de Belfort,Delle,90100,90033,249000241,CC du Sud Territoire,,,,,Site extérieur des Remparts,Www.nuitsdemilandre.com,Nuits.milandre@gmail.com,De 2000 à 2009,2001,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_90033_1942,"47.5085668053, 6.99653850498",
Mois du livre,Intercommunale,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,90010,200069052,CA Grand Belfort,,Place,d'Armes,Place d'Armes,"Bibliothèque sur 4 sites : Forum des 4 As, Avenue de la Laurencie, 1 Rue Maryse Bastié, 1 Rue Paul Koepfler",http://bm.mairie-belfort.fr/,bibliotheque@mairie-belfort.fr,de 1990 à 1999,1995,"Livre, littérature",,,,,,Tous genres littéraires,Après-saison (6 septembre - 31 décembre),,FEST_90010_731,"47.6471539414, 6.84541206237",
La Foire aux livres du Grand Est de la France,Interrégionale,Bourgogne-Franche-Comté,Territoire de Belfort,Belfort,90000,90010,200069052,CA Grand Belfort,,Avenue,de l'Espérance,Avenue de l'Espérance,ATRIA Centre de congrès,https://www.livres-90.fr/,info@livres-90.fr,Avant 1980,1972,"Livre, littérature",,,,,,Tous genres littéraires et animations dépendant de la thématique,Après-saison (6 septembre - 31 décembre),,FEST_90010_727,"47.6471539414, 6.84541206237",
Les P'tites bobines,Intercommunale,Bourgogne-Franche-Comté,Yonne,Auxerre,89000,89024,200067114,CA de l'Auxerrois,1,Boulevard,Du 11 novembre,1 Boulevard Du 11 novembre,Cinéma CGR,https://www.auxerre.fr/Animee/Agenda-des-sorties/Cinema/Les-P-tites-Bobines,,2010 et après,2011,"Cinéma, audiovisuel",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_89024_496,"47.793488225, 3.58168281761",
Chablis Bouge ton cru,,Bourgogne-Franche-Comté,Yonne,Chablis,89800,89068,200071017,CC des Terres d'Auxois,,,,,,www.chablis-bouge-son-cru.fr/,,2010 et après,2014,Musique,,Chanson,,,,,Saison (21 juin - 5 septembre),,FEST_89068_1389,"47.8075995199, 3.79091424228",
Rencontres musicales de Vézelay,,Bourgogne-Franche-Comté,Yonne,Vézelay,89400,89446,200039758,"CC Avallon, Vézelay, Morvan",4,Rue,de l'hôpital,4 Rue de l'hôpital,,www.lacitedelavoix.net,francois.delagoutte@lacitedelavoix.net,De 2000 à 2009,2000,Musique,,"Chanson ou variété française, Jazz, blues, Musique classique, Musiques du monde, Musiques traditionnelles",04- Musiques traditionnelles et du monde,,,,Saison (21 juin - 5 septembre),,FEST_89446_7031,"47.4524539513, 3.71058845441",5143
MusicaSens,,Bourgogne-Franche-Comté,Yonne,Sens,89100,89387,248900334,CA du Grand Sénonais,,,,,,,i.laurent@grand-senonais.fr,De 2000 à 2009,2009,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_89387_6328,"48.1956727015, 3.29793332552",
Les Mots Dits,,Bourgogne-Franche-Comté,Yonne,Appoigny,89380,89013,200067114,CA de l'Auxerrois,,,,,,,bdp@yonne.fr,2010 et après,2015,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_89013_296,"47.8663621082, 3.51999342457",
Catalpa festival,,Bourgogne-Franche-Comté,Yonne,Auxerre,89000,89024,200069615,CC Bresse Haute Seille,81,Avenue,Yver,81 Avenue Yver,Parc de l'Arbre Sec,www.lesilex.fr,administration@lesilex.fr // direction@lesilex.fr,2010 et après,2012,Musique,,"Chanson ou variété française, Pop, rock, Variétés internationales",07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_89024_492,"47.793488225, 3.58168281761",1195
Les airs du temps,,Bourgogne-Franche-Comté,Yonne,Joigny,89300,89206,248900938,CC du Jovinien,29,Quai,du général Leclerc,29 Quai du général Leclerc,,https://www.lesairsdutemps.fr/,contact@lesairsdutemps.fr,2010 et après,,Musique,,"Chanson ou variété française, Musiques traditionnelles, Chants traditionnels",,,,,Saison (21 juin - 5 septembre),,FEST_89206_2662,"48.0088550804, 3.40980180815",
Festival international des écrits de femmes,,Bourgogne-Franche-Comté,Yonne,Saint-Sauveur-en-Puisaye,89520,89368,200067130,CC de Puisaye-Forterre,8,Rue,Colette,8 Rue Colette,,www.ecritsdefemmes.fr,fmaget@maisondecolette.fr,2010 et après,2011,"Livre, littérature",,,,,,"Fiction (roman, théâtre, etc.), Non-fiction (documentaire, autobiographie, essai, récit, etc.), Poésie, Polar, Science-fiction",Après-saison (6 septembre - 31 décembre),,FEST_89368_6161,"47.6390792978, 3.20437842755",
Fête du livre de Jully,,Bourgogne-Franche-Comté,Yonne,Jully,89160,89210,200039642,CC Le Tonnerrois en Bourgogne,,,,,,,claude.garino@free.fr,De 2000 à 2009,2006,"Livre, littérature",,,,,,,Saison (21 juin - 5 septembre),,FEST_89210_2685,"47.7745117396, 4.29841355038",
Festival 3 étoiles,Intercommunale,Bourgogne-Franche-Comté,Yonne,Avallon,89200,89025,200039758,"CC Avallon, Vézelay, Morvan",,Rue,Maréchal Foch,Rue Maréchal Foch,,http://cineclubfrancoistruffaut.fr,,De 2000 à 2009,2003,"Cinéma, audiovisuel",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_89025_501,"47.4824789933, 3.91585953972",
Moissons d'été,,Bourgogne-Franche-Comté,Yonne,Soucy,89100,89399,248900334,CA du Grand Sénonais,,Route,de Voisines,Route de Voisines,,www.lafermedugrandbeon.fr,grandbeon@gmail.com,De 2000 à 2009,2000,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_89399_6403,"48.2508138819, 3.32683528652",
Festival en Othe,,Bourgogne-Franche-Comté,Yonne,Saint-Florentin,89600,89345,200067304,CC serein et Armance,,,,,,https://www.festivalenothe.net/,direction@festivalenothe.org,De 1990 à 1999,1991,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_89345_5837,"47.996991653, 3.70472818773",
La Grande Hâte,,Bourgogne-Franche-Comté,Yonne,Dixmont,89500,89142,248900334,CA du Grand Sénonais,2,Chemin,des Terres Rouges,2 Chemin  des Terres Rouges,,www.lagrandehate.com,lagrandehate@gmail.com,2010 et après,2017,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_89142_2019,"48.0776099615, 3.42365889592",
Rues barrées,Intercommunale,Bourgogne-Franche-Comté,Yonne,Auxerre,89000,89024,200067114,CA de l'Auxerrois,14,Place,de l’Hôtel de Ville,14 Place de l’Hôtel de Ville,Mairie,http://www.ot-auxerre.fr/,,2010 et après,2018,Spectacle vivant,Cirque ; Arts de la rue,,,,,,Saison (21 juin - 5 septembre),,FEST_89024_497,"47.793488225, 3.58168281761",
